state,timestamp,leading_candidate_name,trailing_candidate_name,leading_candidate_votes,trailing_candidate_votes,leading_candidate_party,trailing_candidate_party,vote_differential,votes_remaining,new_votes,new_votes_relevant,new_votes_formatted,leading_candidate_partition,trailing_candidate_partition,precincts_reporting,precincts_total,hurdle,hurdle_change,hurdle_mov_avg,counties_partition,total_votes_count
Gov-Arizona,2022-11-12 22:52:41.021000,Katie Hobbs,Kari Lake,1102783,1070509,DEM,GOP,32274,437802,4379,4379,"  4,379",0.6343914135647408,0.3656085864352592,1442,1732,0.5902135781013516,0.004150817815842922,0.3656085864352592,{},2173292
Gov-Arizona,2022-11-12 04:03:39.333000,Katie Hobbs,Kari Lake,1100005,1068908,DEM,GOP,31097,442181,0,0,      0,0,0,1439,1732,0.5860627602855086,-0.41393723971449137,,{},2168913
Sen-Nevada,2022-11-12 05:15:11.319000,Adam Laxalt,Catherine Cortez Masto,468437,467575,GOP,DEM,862,54128,2579,2417,"  2,417",0.5084815887463798,0.49151841125362017,1600,1690,0.5267619370055738,0.002432125534798435,0.5626,{},965784
Sen-Nevada,2022-11-12 03:34:44.974000,Adam Laxalt,Catherine Cortez Masto,467208,466387,GOP,DEM,821,56707,10943,10512," 10,512",0.446251902587519,0.553748097412481,1596,1690,0.5243298114707754,-0.024134464295027303,0.5759333333333333,{},963205
Sen-Nevada,2022-11-12 02:22:26.691000,Adam Laxalt,Catherine Cortez Masto,462517,460566,GOP,DEM,1951,67650,5068,4893,"  4,893",0.6178213774780299,0.38217862252197016,1578,1690,0.5484642757658027,0.0300229039454859,0.6120333333333333,{},952262
Sen-Nevada,2022-11-12 01:16:56.810000,Adam Laxalt,Catherine Cortez Masto,459494,458696,GOP,DEM,798,72718,27229,26110," 26,110",0.34316353887399464,0.6568364611260054,1570,1690,0.5184413718203168,-0.1326798859570294,0.6568364611260054,{},947194
Sen-Nevada,2022-11-11 23:40:02.266000,Adam Laxalt,Catherine Cortez Masto,450534,441546,GOP,DEM,8988,99947,0,0,      0,0,0,1524,1690,0.6511212577773462,-0.3488787422226538,,{},919965
House-AK-1,2022-11-12 16:40:03.243000,Mary Peltola,Sarah Palin,101441,57035,DEM,GOP,44406,53332,0,0,      0,0,0,402,402,15.037410124420553,14.037410124420553,,{},214659
House-CA-47,2022-11-12 16:40:03.243000,Katie Porter,Scott Baugh,100228,95673,DEM,GOP,4555,96489,0,0,      0,0,0,358,534,1.430231982837073,0.4302319828370731,,{},195901
House-CO-3,2022-11-12 16:40:03.243000,Lauren Boebert,Adam Frisch,162040,160918,GOP,DEM,1122,3440,0,0,      0,0,0,486,491,4.668212268979609,3.668212268979609,,{},322958
